Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
single,Short cycle diploma holders,5th choice,Animation and Multimedia Design,daytime,secondary education,122.0,Portuguese,,higher education - doctorate,"personal services, security and safety workers",elementary occupations,127.3,yes,no,no,yes,male,no,20,no,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,dropout
single,Change of course institution,1st choice,Tourism,daytime,secondary education,160.0,Portuguese,secondary education,basic education 3rd cycle,intermediate level technicians,intermediate level technicians,142.5,yes,no,no,no,male,no,19,no,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,non-dropout
single,1st phase - general contingent,5th choice,Communication Design,daytime,secondary education,122.0,Portuguese,,,elementary occupations,elementary occupations,124.8,yes,no,no,no,male,no,19,no,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,dropout
single,Short cycle diploma holders,2nd choice,Journalism and Communication,daytime,secondary education,122.0,Portuguese,,,"personal services, security and safety workers",intermediate level technicians,119.6,yes,no,no,yes,female,no,20,no,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,non-dropout
married,International student (bachelor),1st choice,Social Service (evening),evening,secondary education,100.0,Portuguese,,,elementary occupations,elementary occupations,141.5,no,no,no,yes,female,no,45,no,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,non-dropout
married,International student (bachelor),1st choice,Management (evening),evening,,133.1,Portuguese,,,elementary occupations,"skilled workers in industry, construction, and craftsmen",114.8,no,no,yes,yes,male,no,50,no,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,non-dropout
single,1st phase - general contingent,1st choice,Nursing,daytime,secondary education,142.0,Portuguese,,,"skilled workers in industry, construction, and craftsmen",armed forces professions,128.4,yes,no,no,yes,female,yes,18,no,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,non-dropout
single,Change of institution/course (International),4th choice,Tourism,daytime,secondary education,119.0,Portuguese,,,elementary occupations,elementary occupations,113.1,yes,no,no,no,male,no,22,no,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,dropout
single,1st phase - general contingent,3rd choice,Social Service,daytime,secondary education,137.0,Ukrainian,secondary education,secondary education,elementary occupations,elementary occupations,129.3,no,no,no,yes,female,yes,21,yes,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,non-dropout
single,1st phase - general contingent,1st choice,Social Service,daytime,secondary education,138.0,Portuguese,secondary education,,administrative staff,"skilled workers in industry, construction, and craftsmen",123.0,yes,no,yes,no,female,no,18,no,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,dropout
single,1st phase - general contingent,1st choice,Advertising and Marketing Management,daytime,secondary education,139.0,Portuguese,,,"personal services, security and safety workers","skilled workers in industry, construction, and craftsmen",130.6,yes,no,no,yes,female,no,18,no,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,non-dropout
single,1st phase - general contingent,1st choice,Nursing,daytime,secondary education,136.0,Portuguese,,,elementary occupations,elementary occupations,119.3,yes,no,no,yes,female,yes,18,no,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,non-dropout
